02/10/2019,Domingo,5º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Is 6,1-2a.3-8  / Salmo - Sl 137,1-2a.2bc.4-5.7c-8 (R. 1c.2a)  / 2ª Leitura - Cor 15,1-11  / 2ª Leitura - Cor 15,3-8.11  / Evangelho - Lc 5,1-11"
02/11/2019,Segunda,2ª-feira da 5ª Semana Do Tempo Comum,Nossa Senhora de Lourdes,Azul,,,,,,,X,C,"Cf. Lc 1,45","És deliz, porque creste, Maria, pois, em ti, a Palavra de Deus vai cumprir-se, conforme Ele disse!","1ª Leitura - Is 66, 10-14c  / Salmo - Jt 13,18bcde.19 / Evangelho - Jo 2, 1-11"
02/12/2019,Terça,3ª-feira da 5ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 1,20 - 2,4a  / Salmo - Sl 8,4-5. 6-7. 8-9 (R. 2a)  / Evangelho - Mc 7,1-13"
02/13/2019,Quarta,4ª-feira da 5ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 2,4b-9.15-17  / Salmo - Sl 103,1-2a. 27-28. 29bc-30 (R. 1a)  / Evangelho - Mc 7,14-23"
02/14/2019,Quinta,5ª-feira da 5ª Semana Do Tempo Comum,"São Cirilo, monge, e São Metódio, bispo",Branco,,,,,,,,C,,,"1ª Leitura - Gn 2,18-25  / Salmo - Sl 127,1-2. 3. 4-5 (R. Cf 1a)  / Evangelho - Mc 7,24-30"
02/15/2019,Sexta,6ª-feira da 5ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 3,1-8  / Salmo - Sl 31, 1-2. 5. 6. 7 (R. Cf. 1a)  / Evangelho - Mc 7,31-37"
02/16/2019,Sábado,Sábado da 5ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 3,9-24  / Salmo - Sl 89, 2. 3-4. 5-6. 12-13. (R.1)  / Evangelho - Mc 8,1-10"
02/17/2019,Domingo,6º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Jr 17,5-8  / Salmo - Sl 1,1-2.3.4.6 (R. Sl 39,5a)  / 2ª Leitura - 1Cor 15,12.16-20  / Evangelho - Lc 6,17.20-26"
02/18/2019,Segunda,2ª-feira da 6ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 4,1-15.25  / Salmo - Sl 49, 1.8. 16bc-17. 20-21 (R. 14a)  / Evangelho - Mc 8,11-13"
02/19/2019,Terça,3ª-feira da 6ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 6,5-8; 7,1-5.10  / Salmo - Sl 28,1a.2. 3ac-4. 3b.9b-10 (R.11b)  / Evangelho - Mc 8,14-21"
02/20/2019,Quarta,4ª-feira da 6ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 8,6-13.20-22  / Salmo - Sl 115, 12-13. 14-15. 18-19 (R. 17a)  / Evangelho - Mc 8,22-26"
02/21/2019,Quinta,5ª-feira da 6ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Gn 9,1-13  / Salmo - Sl 101, 16-18. 19-21. 29.22-23 (R. 20b)  / Evangelho - Mc 8,27-33"
02/22/2019,Sexta,6ª-feira da 7ª Semana Do Tempo Comum,"Cátedra de São Pedro, Apóstolo",Dourado,,X,,,,,,C,"Mt 16,18","Tu és Pedro e sobre esta pedra, eu irei construir minha Igreja, e as portas do inferno não irão derrotá-la.","1ª Leitura - Ez 3, 16-21  / Salmo - Sl 22, 1-6  / 2ª Leitura - 1Pd 5, 1-4  / Evangelho - Mt 16, 13-19"
